id,moves
19,"['d1', '-f1', '-r0', 'd1', '-f1', 'r1', '-f1', '-r0', '-d1', 'r0', 'f0', '-d0', '-f0', 'd0', '-d1', '-d1', '-f0', 'd0', '-d1', '-d1', 'd0', '-f1', '-r0', '-d1', '-d0', '-r1', 'f0', '-f1', '-r0', '-f1', '-r0', '-d1', '-r0', 'd1', '-f1', '-f0', 'd0', '-r0', 'd1', '-f1', 'r1', '-f0', '-r0', '-r1', '-r0', '-d1', 'd0', '-f1', '-f0', 'd0', '-d1', '-d1', 'f1', '-d0', 'd1', 'd1', '-d0', 'f0', 'd1', '-f1', '-r0', 'd1', '-f1', 'r1', '-f1', '-r0', '-d1', 'r0', 'f0', '-r1', '-r0', '-f0', '-r0', 'd1', 'r0', 'f1', '-r1', 'f1', '-d1', 'r0', 'f1', '-d1']"
20,"['-d0', '-f1', 'd0', '-d1', 'r1', 'f0', 'd0', '-r1', '-d0', 'f0', 'd0', '-r1', 'd1', 'd1', '-d0', 'f1', 'd0', '-d1', '-f0', '-f1', 'd0', '-d1', 'r1', 'f0', 'd0', '-r1', '-d0', 'f0', 'd0', '-r1', '-d0', 'f0', 'd1', '-d0', '-f1', 'd0', '-d1', '-d0', 'r1', 'f0', 'd0', '-r1', '-d0', 'f0', 'd0', '-r1', 'd0', 'r1', '-d0', '-f0', '-r1', '-f0', '-r0', 'f0', 'd0', '-r1', '-d0', '-r0', '-f0', 'd0', 'f0', 'd0', '-r1', 'd1', '-d0', 'f1', 'd0', '-d1', '-f0', '-f1', 'd0', '-d1', 'd0', '-r1', '-f1', 'd0', '-f0', 'd0', '-f1', 'd0', '-d1', '-d1', '-f0', 'd0', '-f0', '-r0', 'f1', '-f0', '-d0', 'f0', 'd1', '-d0', '-f1', 'd0', '-d1', '-f0', '-r0', 'f1', 'f1', '-d0', '-f1', 'd0', '-d1', 'r1', 'f0', 'd0', '-r1', '-d0', 'f0', 'd0', '-r1', 'd1']"
21,"['r0', 'f0', '-d0', 'f0', '-d1', 'f1', 'f0', 'd1', '-f0', '-d1', '-f0', '-f1', 'd1', '-f0', 'd0', '-f0', '-r0', '-f0', '-f1', 'd1', '-f0', 'd0', '-f0', '-r0', '-f0', '-r0', '-f0', '-f1', 'd1', '-f0', 'd0', '-f0', '-r0', '-f1', 'd1', '-f0', 'd0', 'r0', '-r1', '-d1', '-d0', '-d0', 'f0', '-d1', '-r0', '-f1', 'f0', '-d1', '-r0', '-f0', '-d0', 'f0', '-d1', 'f1', '-d0', '-d0', 'f0', '-d1', 'f1', '-d0', 'f0', '-d1', 'f1', 'd0', 'd1', '-f1', 'd1', '-f0', 'd0', '-f0', 'r1', '-f1', 'd1', '-f0', 'd0', '-f0', 'r1', '-d1', '-d0', '-f1', 'd1', '-f0', 'd0', '-r1', 'f1', 'r0', 'f0', '-d0', 'f0', '-d1', 'f1', 'f0', 'd1', '-f0', 'f1', '-r1']"
22,"['f1', '-r1', 'f0', 'r1', '-f1', '-r1', 'f0', 'd1', '-r0', '-r1', '-d1', '-f0', '-r0', '-r1', '-r1', '-d1', '-f1', '-d1', '-d0', '-d1', '-d0', '-r1', '-d1', '-f1', '-d1', '-d0', '-d1', 'f1', '-d1', '-f0', '-d1', '-d0', '-d1', 'r1', '-f1', '-d0', '-d1', '-r0', '-r1', '-d1', '-f0', '-f0', 'r1', '-f1', '-f0', '-f0', '-d1', '-f0', '-r1', 'f0', 'd1', '-f1', '-d1', '-d0', '-d1', '-d0', 'f0', 'd1', 'r1', 'r0', '-d1', '-f0', 'r1']"
23,"['d0', 'f1', 'd0', 'r0', '-f0', '-d1', 'd0', 'r0', '-f0', '-d1', '-r0', '-d0', '-d1', '-d1', '-r0', '-d1', '-r0', 'd0', '-f1', '-r1', '-f1', '-r1', '-r0', '-f0', '-r0', 'f0', '-r1', 'r0', '-r1', '-f0', '-d1', '-f1', '-r1', 'r0', 'f1', 'r0', 'f1', '-r0', 'f0', '-r1', 'd1', '-f1', '-d0', 'r0', 'f1', '-r0', '-f1', '-d0', '-r0', 'f1', 'r0', '-f1', '-r0']"
24,"['f0', '-d1', '-d0', '-d0', '-f0', '-r1', '-d1', '-d0', '-d0', '-f0', '-d1', '-d0', '-d0', '-d1', '-d0', '-d0', '-f1', '-r0', 'd1', 'r1', 'r0', '-f1', 'f0', '-d0', '-d0', '-d1', '-d0', '-d0', '-r1', 'd0', 'd0', 'd1', 'f0', 'd0', 'd0', 'd1', '-f0', '-d0', '-d0', '-d1', '-d0', '-d0', '-d1', '-d0', '-d0', '-f0', '-f1', '-r0', '-d0', '-d0', '-r0', '-r1', '-f1', 'f0', '-d1', '-d0', '-d0', '-r0', '-r1', '-d1', '-r1', 'd0', 'd0', 'd1', '-f1', 'f0', 'd0', 'd0', 'd1', '-f0', '-d0', '-d0', 'f0', '-d1', '-d0', '-d0', '-f0', 'f1', '-d0', '-d0', '-d1', '-d0', '-d0', '-r1', 'd0', 'd0', 'd1', 'f0', 'd0', 'd0', 'd1', '-r0', '-r1', '-d1', '-d0', '-d0', '-d1', '-d0', '-d0']"
25,"['d1', '-d0', '-f1', '-d0', '-d1', '-r1', '-d0', '-r1', 'd1', 'd0', 'f1', 'd0', '-d1', 'r0', '-f0', 'd1', '-d0', '-f1', '-d0', '-d0', '-f1', '-d0', '-d1', '-r1', '-d1', 'r0', '-f0', '-r0', '-f1', '-f0', '-d1', '-f1', 'f0', '-r0', '-r1', 'r0', '-f1', 'f0', '-r0', '-r0', '-f1', '-r1', 'd1', 'd0', '-f0', '-d1', 'd0', '-r1', 'r0', 'f1', 'd0', '-d1', '-f1', '-d0', '-d1', 'r1', '-d0', 'd1', '-d0', '-f1', 'd0']"
26,"['-d1', '-f1', '-d0', '-f1', '-r0', '-f1', '-d0', '-f1', '-r0', 'f1', '-f0', '-f0', '-d0', '-f1', '-r0', 'd1', '-r1', '-d0', '-r1', 'd0', 'r1', '-d1', 'r0', 'f1', 'd0', '-r0', '-r1', '-d0', 'r1', '-d0', 'f1', '-d0', '-f1', '-r0', 'd1', '-r1', '-d0', '-f0', '-r1', '-d0', 'r1', '-d0', 'f1', '-d0', '-f1', '-r0', 'd1', '-r1', '-d0', '-r1', '-f1', '-r0', 'd0', 'r1', '-d1', 'r1', '-d1', '-r1', 'd0', '-f1', '-r0', '-r1', '-d0', 'r1', 'f1', 'd0', 'd0', 'r1', '-d1', 'r0', 'f1', '-r1', 'd0', 'r1', '-d1', 'r0', 'f1', 'f1', '-f0', '-d0', '-f1', '-r0', 'd1', '-r1', '-d0', '-r1', 'd0', 'r1', '-d1', 'r0', 'f1', 'd0', '-r0']"
27,"['-f1', '-d0', '-d0', 'r1', '-d0', '-r0', '-d0', '-d0', 'r1', '-d0', '-r0', '-f0', '-r1', '-f1', 'r0', '-d0', 'd1', 'r0', '-d1', '-f1', 'd1', '-r0', '-d1', 'r1', '-d0', 'r1', '-d0', '-r0', 'd1', '-r0', 'r1', '-d0', '-r1', '-f0', '-r1', '-f0', 'd0', '-r0', '-d1', '-f0', '-r1', '-r1', '-f0', 'd0', '-d1', 'd0', '-r1', 'r0', '-d0', '-r1', '-f0', 'd0', '-d1', 'd0', '-r0', 'r1', '-d0', '-r1', '-f0', 'd0', '-d1', 'd0', '-r0', 'r1', '-d0', 'r0', 'd0', '-r1', 'd0', '-r1', '-f0', '-r1', '-f1']"
28,"['-r0', 'f0', 'f0', '-r1', '-f1', '-f0', '-f1', '-d1', 'd0', '-r1', '-f1', '-d0', 'f0', 'f0', 'd1', '-d0', 'f0', 'f0', 'd1', 'f1', '-f0', '-f1', '-d1', 'd0', '-r0', '-f0', '-f1', '-d1', '-r1', '-f1', '-d0', 'f0', 'f0', 'd1', '-r0', '-f0', '-f1', '-d1', '-d1', '-f1', '-d1', '-f0', '-f0', '-f0', '-f1', '-d1', '-d1', '-f0', '-f0', '-d0', 'f0', 'f0', 'd1', '-r1', '-f1', '-d0', 'd1', 'f1', 'f0', '-f1', '-d1', '-f0', '-f0', 'd0', '-r0', 'f0', 'f0', '-d1', '-f0', '-f0', '-f0', '-f0', '-r1', '-f1', '-d0', 'f0', 'f0', 'd1', '-d0', 'f0', 'f0', 'd1', 'f1']"
29,"['f0', '-d1', '-r0', '-f0', '-d0', 'f0', 'f0', '-r1', 'f1', '-r1', 'd1', 'r0', 'd0', '-r0', '-f1', '-d1', '-r0', '-r1', '-r1', 'f1', '-r1', 'd1', 'r0', 'd0', '-r0', 'f0', 'f0', '-r1', '-f0', '-f0', '-f1', '-r1', '-f0', '-f0', '-r0', '-d1', 'r1', '-f0', '-f0', 'd0', '-r0', '-r1', 'f1', 'd0', '-r0', 'f0', 'f0', '-d1', 'r1', '-d0', 'f0', 'f0', 'r1', '-f0', '-f0', '-f1', '-d0', '-r0', '-d1', 'r1', '-f0', '-f0', '-f1', '-d0', '-r1', '-f0', '-f0', 'd0', 'f1', 'f0', 'f0', '-d0', '-r1', '-r1', 'f1', '-r1', 'd1', 'r0', 'd0', '-r0', 'f0', 'f0']"
