14,14,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;A;C;D;B;E;B;B;A;C;E;C;D;C;F;D;F;A;E;E;F;A;F;B,0
15,15,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,B;C;D;B;E;C;F;D;A;F;A;A;D;A;D;B;E;F;C;B;E;E;F;C,0
16,16,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;F;B;E;E;A;E;A;D;E;D;D;D;B;F;F;C;A;B;F;B;C;C;C,0
17,17,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,F;A;D;F;C;E;E;D;D;B;A;C;C;D;F;E;C;A;B;B;A;E;F;B,0
18,18,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,B;A;D;A;A;E;F;B;B;C;F;F;D;C;D;C;A;E;F;D;C;E;B;E,0
19,19,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;F;B;E;C;E;D;A;D;C;A;F;C;E;C;F;B;F;B;A;A;B;D,0
20,20,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N22;N0;N1;N2;N12;N17;N20;N5;N4;N13;N3;N21;N16;N18;N7;N23;N15;N9;N11;N6;N19;N8;N14;N10,0
21,21,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N5;N7;N15;N13;N18;N16;N14;N4;N0;N21;N17;N9;N10;N8;N1;N20;N3;N22;N19;N11;N23;N2;N6;N12,0
22,22,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N13;N8;N7;N14;N10;N11;N17;N22;N23;N3;N15;N12;N5;N16;N9;N6;N0;N21;N20;N4;N2;N18;N19;N1,0
23,23,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N20;N14;N9;N8;N1;N3;N4;N22;N5;N11;N15;N16;N23;N6;N13;N7;N19;N12;N10;N2;N17;N18;N21;N0,0
24,24,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N10;N0;N2;N14;N4;N11;N15;N3;N23;N13;N8;N9;N16;N7;N1;N19;N21;N17;N6;N22;N18;N5;N20;N12,0
25,25,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,C;F;B;D;F;A;E;D;D;E;D;C;E;A;B;F;C;A;F;E;A;B;B;C,0
26,26,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,C;E;B;D;F;A;A;D;D;E;D;A;F;B;E;C;C;F;C;F;B;B;A;E,0
27,27,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,F;B;F;A;E;E;A;B;E;D;C;D;D;B;A;A;F;E;C;F;B;C;C;D,0
28,28,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,F;C;A;A;E;D;C;F;D;B;A;D;C;F;B;F;B;E;E;C;A;B;E;D,0
29,29,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,D;F;B;C;F;A;D;E;C;B;A;B;A;D;C;E;B;F;E;A;D;E;F;C,0
